en,nl,it,de,es,pl,sq,ar,bn,bg,zh,cs,da,fa,fr,el,gu,he,hi,hu,is,id,ja,quc,ko,mt,mam,no,pt,ro,ru,si,sl,sw,ta,tet,tr,tzj,uk,vi,cy
[Read more Space Scoops] based on INSTITUTION_NAME Press Releases,[Lees meer Space Scoops] gebaseerd op persberichten van INSTITUTION_NAME,[Leggi altre Space Scoop] basate sulle Press Release di NOME_ISTITUTO,[Lies weitere Space Scoops] basierend auf Pressemitteilungen von INSTITUTION_NAME,[Lee más Space Scoops] basados en comunicados de prensa de INSTITUTION_NAME,[Przeczytaj więcej Space Scoop] powiązanych z komunikatami prasowymi INSTITUTION_NAME,,(إقرأ المزيد من أخبار الفضاء) تستند على بيان صحفي صادر عن  INSTITUTION_NAME ,(স্পেস স্কুপ সম্পর্কিত)একটি  INSTITUTION NAME 'র প্রেস রিলিজ ভিত্তিতে ,[Прочети още новини] ,,[Přečti si více Space Scoops] na základě tiskové zprávy od INSTITUTION_NAME,[Læs flere Space Scoops] baserede på INSTITUTION_NAME Pressemeddelelse,بر اساس خبر منتشرشده INSTITUTION_NAME (ملاقه‌های فضایی بیشتری بخوانید),[Lire d'autres Scoops de l'Espace] basés sur des communiqués de presse de INSTITUTION_NAME,[Διάβασε κι άλλες Διαστιμικές Ειδήσεις] βασισμένες σε Δελτία Τύπου του INSTITUTION_NAME ,,[קיראו עוד סקופים של חלל] מבוסס על הודעה לעיתונות של- INSTITUTION_NAME,"
[और पढ़ें अंतरिक्ष  स्कूप] INSTITUTION_NAME प्रेस विज्ञप्ति पर आधारित",,[Lestu fleiri Space Scoops] frá INSTITUTION_NAME,[Baca Space Scoop lainnya] yang disadur dari rilis berita INSTITUTION_NAME,[スペース・スクープについてもっと読む]  INSTITUTION_NAME の報道記事にもとづきます,[Usik'ixik nik'aj chik Space Scoops] petinaq pa ub'ixikil INSTITUTION_NAME,[좀 더 자세한 사항은] ____ 출처를 참고하세요.,,,[Les flere Space Scoops] basert på pressemeldinger fra INSTITUTION_NAME,[Lê mais Space Scoops] baseados em comunicados de imprensa de INSTITUTION_NAME,[Citește mai multe articole Space Scoop] realizate pe baza comunicatelor de presă de la  INSTITUTION_NAME ,[Читать больше Космического Совка] использованы материалы Института,INSTITUTION_NAME මාධ්ය නිවේදනයක් පදනම් කරගත් තවත් Space scoop ලිපි       ,"[Preberi več Space Scoop novic], ki temeljijo na novicah INSTITUTION_NAME",Soma Space Scoops nyingine za taarifa kwa vyombo vya habari za,INSTITUTION_NAME இன் பத்திரிகை வெளியீட்டை அடிப்படியாகக் கொண்ட [வேறு Space Scoop களை வாசிக்க],,INSTITUTION_NAME Basın Bültenine göre hazırlanan [Daha fazla Uzay Geazetesine göz atın],(Julee rusik'ib'al chik ja Space Scoope) Jakitoqoonto' ja jule' mokaj chik, [Читай більше Space Scoops] основано на Прес Релізах  INSTITUTION_NAME ,,(Darllenwch mwy o Space Scoops) wedi'u seilio ar Ddatganiadau Gwasg INSTITUTION_NAME 
[Learn more] about INSTITUTION_NAME,[Leer meer] over INSTITUTION_NAME,approfondisci NOME ISTITUTO,[Erfahre mehr] über INSTITUTION_NAME,[Aprende más] acerca de INSTITUTION_NAME,[Dowiedz się więcej] o INSTITUTION_NAME,,(اعرف المزيد) حول INSTITUTION|_NAME,INSTITUTION NAME সম্পর্কে আরো পড়ো ..,[Научи повече] за INSTITUTION_NAME,,[Zjisti více] o INSTITUTION_NAME,[Lær mere] om INSTITUTION_NAME,درباره INSTITUTION_NAME (بیشتر بخوانید),[En savoir plus] sur INSTITUTION_NAME,[Μάθε περισσότερα] για το INSTITUTION_NAME,,[למידע נוסף על INSTITUTION_NAME],INSTITUTION_NAME के बारे में [अधिक जानें ],,[Lærðu meira] um INSTITUTION_NAME,[Lebih lanjut] tentang INSTITUTION_NAME,[もっと知る]  INSTITUTION_NAME について,[Reta'maxik nik'aj chik] chi rij INSTITUTION_NAME,____ 좀 더 알아보기,,,[Lær mer] om INSTITUTION_NAME,[Aprende mais] sobre  INSTITUTION_NAME,[Află mai multe] despre INSTITUTION_NAME,[Узнать больше] об Институте,INSTITUTION_NAME ගැන වැඩිදුර තොරතුරු ,[Preberi več] o INSTITUTION_NAME,Jifunze zaidi kuhusu,INSTITUTION_NAME ஐப் பற்றி [மேலும் அறிய],,INSTITUTION NAME hakkında [Daha dazla bilgi] edinin.,(Ta wojtaqij) k'iy chirij jawa' jun mokaaj ri',[Дізнайся більше] про INSTITUTION_NAME,,Dysgwch mwy am INSTITUTION_NAME
Newsletter,Nieuwsbrief,Newletter,Newsletter,Revista electrónica,Newsletter,,النشرة الإخبارية,সংবাদবাহী পত্র,Бюлетин,,Newsletter,Nyhedsbrev,خبرنامه,Lettre d'information,Εφημερίδα,,ניוזלטר,"न्यूजलेटर / 
संवादपत्र",,Fréttabréf,Buletin elektronik,ニュースレター,No'jwuj,소식지,,,Nyhetsbrev,Newsletter,Buletin informativ,Рассылка,පුවත්ලිපිය,Bilten,Gazeti,செய்திமடல்,,Bülten,No'jwuuj,Розсилка,,Cylchlythyr
Subscribe for the newsletter now and receive all the latest news every month!!,Schrijf je nu in voor de nieuwsbrief en ontvang elke maand het laatste nieuws!,"Iscriviti ora alla newsletter e riceverai, ogni mese, tutte le ultime news!",Melde dich jetzt für den Newsletter an und erhalte jeden Monat die neuesten Nachrichten!,¡¡Suscríbete ahora a la revista electrónica y recibe todas las noticias más recientes cada mes!!,Subskrybuj newsletter i otrzymuj co miesiąc nowości pojawiające się na stronie!,,"اشترك بالتشرة الإخبارية الأن,واحصل على أحدث الأخبار شهريا",নিউজলেটার জন্য এখন সদস্যতা নিন  এবং প্রতি মাসে সব সর্বশেষ খবর পাবেন !!,Запиши се за месечния ни бюлетин сега и получавай всичките ни новини всеки месец!,,Přihlaš se k odběru newsletteru a budeš dostávat všechny novinky každý měsíc!!,"Tilmeld til nyhedsbrevet nu, og modtag alle de seneste nyheder hver måned!",مشترک خبرنامه شوید و آخرین اخبار را هر ماه دریافت کنید!!,Inscris-toi maintenant à la Lettre d'information et reçois les dernières nouvelles chaque mois !!,Γράψου συνδρομητής στην εφημερίδα μας που σου φέρνει τα τελευταία νέα κάθε μήνα!,,הרשמו לניוזלטר כעת ותקבלו חדשות עדכניות בכל חודש!,"
समाचार पत्र के लिए अब सदस्यता लें और हर महीने सभी नवीनतम समाचार प्राप्त !!",,Vertu áskrifandi að fréttabréfinu og fáðu nýjustu fréttir sendar mánaðarlega!,"Daftar dan dapatkan berita terbaru setiap bulan!
",最新のニュースレター（月刊）読者登録,!Chatz'ib'aj awib' chanim xa k'u jeri' kataq le uk'isb'al taq no'jwuj chi ik'!,소식지를 구독하시면 매월 최근 소식을 받아보실 수 있습니다.,,,Abonner på nyhetsbrevet nå og motta alle de siste nyhetene hver måned!!,Subscreve agora a newsletter e recebe todos os meses as notícias mais recentes!,Inreginstrează-te  pentru a primi lunar cele mai recente știri! ,Подпишись на рассылку прямо сейчас и получай все самые свежие новости каждый месяц!,පුවත්ලිපියේ දායකත්වය ලබාගෙන නවතම තොරතුරු සැම මසකම ලබා ගන්න,Naroči se na bilten in vsak mesec prejmi sveže novice!!,Jisajili na gazeti ili upate taarifa mpya kila mwezi!!,"செய்திமடலுக்குப் பதிவு செய்வதன் மூலம், ஒவ்வொரு மாதமும் புதிய செய்திகளைப் பெற்றிடுங்கள்!",,Şimdi bültene üye olun ve her ay tüm yeni gelişmeleri takip edin.,Ta tzijb'aj ab'ii' chi apaan ja no'jwuuj cha utz' ni tajq chabe ja samaaj ik' ik',Підпишись на розсилку зараз і отримуй найсвіжіші новини щомісяця!,,Tanysgrifiwch i'r cylchlythyr nawr a bydd gennych fynediad at y newyddion diweddaraf yn fisol! 
Write your name here...,Schrijf je naam hier..,Scivi il tuo nome,Gib hier deinen Namen ein...,Escribe tu nombre aquí...,Podaj swoje imię,,اكتب اسمك هنا...,আপনার নাম লিখুন,Тук напиши името си...,,Zde napiš své jméno...,Skriv dit navn her...,نام خود را اینجا بنویسید...,Inscris ton nom ici...,Γράψε το όνομα σου εδώ,,כתבו את שמכם כאן...,आपका नाम यहाँ लिखें ...,,Skrifaðu nafnið þitt hér...,Tulis nama disini...,ここにあなたの名前を書いて下さい,Chatz'ib'aj le ab'i' waral...,이름,,,Skriv navnet ditt her …,Escreve o teu nome aqui,Scrie numele tău aici...,Напишите Ваше имя здесь...,ඔබේ නම ලියන්න,Vpiši svoje ime... ,Andika jina lako hapa...,உங்கள் பெயரை எழுதவும்...,,Adınızı buraya yazın...,Ta tzijb'aj ab'ii' wawe' ri',Вкажи своє ім'я тут ...,,Ysgrifennwch eich enw yma...
Write your e-mail here...,Schrijf je e-mailadres hier...,Scrivi qui la tua e-mail,Gib hier deine E-Mail ein...,Escribe tu e-mail aquí...,Podaj swój adres email,,اكتب بريدك الإلكتروني هنا....,আপনার e-mail লিখুন,Тук напиши имейл адреса си...,,Zde napiš svůj e-mail...,Skriv din email her...,ایمیل خود را اینجا بنویسید...,Insère ton adresse électronique ici...,Γράψε την ηλεκτρονική σου διεύθυνση (e-mail) σου εδώ,,"כתבו את הדוא""ל שלכם כאן...","
अपने ई-मेल यहां लिखें ...",,Skrifaðu tölvupóstfangið þitt hér...,Tulis alamat surel  disini...,ここにあなたのメールアドレスを書いて下さい,Chatz'ib'aj le ataqoqxa'nib'al pa kematz'ib' waral...,이메일,,,Skriv e-postadressen din her …,Escreve o teu email aqui,Scrie adresa ta de e-mail aici...,Напишите Ваш e-mail здесь...,ඔබේ විද්‍යුත් තැපැල් ලිපිනය ලියන්න,Vpiši svoj e-naslov...,Andika barua pepe yako hapa...,உங்கள் ஈமெயில் முகவரியை எழுதவும்...,,E-posta adresinizi yazın...,,Вкажи свою поштову скриньку тут ...,,Ysgrifennwch eich cyfeiriad e-bost yma...
Subscribe,Aanmelden,Iscriviti,Anmelden,Suscribir,Subskrybuj,,اشترك,সদস্যতা নিন,Запиши се,,Odebírat,Tilmeld,مشترک شوید,S'abonner,Εγγραφή,,הרשמה,सदस्यता के,,Áskrift,Daftar,無料購読,Utz'ib'axik ib',구독하기,,,Abonner,Subscreve,Inreginstrează-te,Подписаться,දායකත්වය ලබාගන්න,Naroči se,Jisajili,பதிவு செய்யவும்,,Üye olun,Ta tz'ijb'aj ab'ii',Підписатись,,Tanysgrifiwch
Misc,Diversen,Varie,Verschiedenes,Varios,Różne,,متفرقات,বিবিধ,Разни,,Různé,Diverse,متفرقه,Divers,Διάφορα,,,विविध,,,,,Nik'aj chik,기타,,,Diverse,,Diverse,Смесь,විවිධ,Razno,,மற்றவை,,Çeşitlí,Jule' taq naquun chik,Різне,,Amrywiol
No articles are available.,Er zijn geen artikelen beschikbaar,Non è disponibile alcun articolo,Keine Artikel vorhanden.,No existen artículos disponibles,Brak dostępnych artykułów.,,لا يوجد مقالات متاحة.,কোন বিষয়বস্তু পাওয়া যায়নি ,Няма достъпни материали. ,,Nejsou k dispozici žádné články.,Der er ingen tilgængelige artikler.,مقاله‌ای موجود نیست.,Pas d'article disponible.,Δεν υπάρχουν άρθρα,,אין מאמרים תואמים,कोई लेख उपलब्ध हैं।,,Engar greinar til,Tidak ada artikel yang tersedia,該当する項目がありません,Man k'o ta jastaq jamal uwach.,내용이 없습니다.,,,Ingen artikler er tilgjengelige.,Não existem artigos disponíveis,Nu sunt articole disponibile.,Недоступные статьи,ලිපි නැත,Noben prispevek ni na razpolago.,Hakuna taarifa ,கட்டுரைகள் இல்லை,,Herhangi bir haber bulunamadı.,Mak'ota samaaj wawe' ri',Немає доступних статей,,Does dim erthyglau ar gael yma.
"Sorry, no results found that match your query.","Sorry, er zijn geen resultaten gevonden die overeenkomen met jouw zoekopdracht.","Siamo spiacenti, non abbiamo trovato quello che cerchi","Tut uns leid, es wurden keine passenden Ergebnisse gefunden.","Lo sentimos, no hemos encontrado ningún resultado de la búsqueda","Przepraszamy, brak rezultatów wyszukiwania. ",,"عذرا, لا يوجد نتائج تطابق تساؤلك","দুঃখিত , যে আপনার সন্ধানের বিষয়ের সাথে মিল পাওয়া যায়নি.","Съжаляваме, няма резултати, които да отговарят на твоето търсене.",,"Je nám líto, ale žádné výsledkyodpovídající tvému dotazu nebyly nalezeny.",Desværre var der ingen resultater der matchede din søgning.,,"Pardon, aucun résultat ne répond à votre requête.","Συγνώμη, δεν υπάρχουν κατάλληλα αποτελέσματα για την αναζήτηση σου.",,"מצטערים, לא נמצאו תוצאות תואמות לחיפוש זה","क्षमा करें, आपकी क्वेरी से मेल कोई परिणाम नहीं मिला ।",,"Afsakaðu, engar niðurstöður passa við leitina þína","Maaf, kata yang dicari tidak tersedia",ごめんなさい、答えが見つかりません,"Chakuyu', man k'o ta kajunamataj ruk' le atzukunem.",죄송합니다. 해당하는 내용이 없습니다.,,,"Beklager, vi fant ingen resultater som passet med forespørselen din.","Desculpe, não foram encontrados resultados da pesquisa","Ne pare rau, nu a fost găsit nici un rezultat in urma căutării tale.","Извините, не найдено результатов, соответствующих Вашему запросу ",සමාවන්න. ඔබේ විමසුමට ගැලපෙන තොරතුරු නැත,"Oprostite, noben rezultat ne ustreza vašemu iskanju.","Samahani, hakuna taarifa inayohusiana na utafutaji wako","மன்னிக்கவும், உங்கள் தேடலுக்குப் பொருத்தமான முடிவுகள் எதுவும் இல்லை.",,"Üzgünüz, isteğinize uygun arama sonucu bulunamadı.",Q'as ta kuyu' qamajk mak'ota' qiloon,"Вибачте, пошук не дав результатів",,"Yn anffodus, does dim canlyniad yn ateb eich ymholiad. "
"This page isn't available in your language yet, if you'd like to provide a translation please contact us at CONTACT_ADDRESS","Deze pagina is nog niet in jouw taal beschikbaar. Als je een vertaling zou willen toevoegen, neem dan contact op met CONTACT_ADDRESS.","Questa pagina non è disponibile nella tua lingua, tuttavia se vuoi fornirci una traduzione ti chiediamo di contattarci al INDIRIZZO ","Diese Seite ist in deiner Sprache noch nicht verfügbar. Wenn du uns eine Übersetzung zukommen lassen möchtest, kontaktiere uns bitte unter CONTACT_ADDRESS","Esta página aún no está disponible en tu idioma. Si deseas colaborar con nosotros en la traducción, por favor contáctanos en CONTACT_ADDRESS",Ta strona nie jest dostępna w wybranej wersji językowej. Jeśli chciałbyś ją przetłumaczyć skontaktuj się z nami CONTACT_ADDRESS,,"هذه الصفحة غير متوفرة بلغتك بعد, إن كنت تريد تقديم ترجمة الرجاء الإتصال بنا عن طريق CONTACT_ADDRESS","এ পৃষ্ঠাটি  , এখনো আপনার ভাষায় পাওয়া যায়নি যদি আপনি একটি অনুবাদ প্রদান করতে চাই CONTACT_ADDRESS এ আমাদের সাথে যোগাযোগ করুন","Тази страница все още не е достъпна на твоя език. Ако искаш да я преведеш, пиши ни на CONTACT_ADDRESS",,"Tato stránka ještě není k dispozici ve tvém jazyce, pokud nám chceš překlad poskytnout, tak nás kontaktuj na CONTACT_ADDRESS","Denne side er endnu ikke tilgængelig på dit sprog. Hvis du gerne vil bidrage med en oversættelse, kontakt os da på CONTACT_ADDRESS",,"Cette page n'est pas encore disponbile dans ta langue ; si tu veux nous fournir une traduction, merci de nous contacter à CONTACT_ADDRESS","Αυτή η σελίδα δεν παρέχεται στην γλώσσα σου ακόμη. Αν θα ήθελες να συνεισφέρεις μια μετάφραση, επικοινώνησε μαζί μας στον CONTACT_ADDRESS",,"עמוד זה עדיין אינו זמין בעברית. אם ברצונך לתרגמו, אנא צור קשר דרך  CONTACT_ADDRESS","
यह पृष्ठ , फिर भी आपकी भाषा में उपलब्ध नहीं है , तो आप एक अनुवाद प्रदान करना चाहते हैं CONTACT_ADDRESS पर संपर्क करें",,"Þessi vefsíða er því miður ekki enn til á tungumálinu þínu, hafðu samband ef þú vilt þýða hana CONTACT_ADDRESS ","Laman ini tidak tersedia dalam Bahasa yang dicari! Jika kamu tertarik untuk menerjemahkan, sila kontak ke CONTACT_ADDRESS",まだ日本語に翻訳されていません。翻訳のご希望は CONTACT_ADDRESS へ連絡して下さい,"We uxaq web' man jamal ta uwach pa le ach'ab'al, xa k'u, we kawaj kaq'axej taq le tzij pa le ach'ab'al, chojach'ab'ej pa CONTACT_ADDRESS",이 페이지는 한국어 번역이 아직 준비되지 않았습니다. 번역을 희망하시면 ___로 연락주시기 바랍니다.,,,"Denne siden er ikke tilgjengelig på ditt språk ennå. Hvis du ønsker å hjelpe oss med en oversettelse av siden, kontakt oss på CONTACT_ADDRESS",Esta página não está disponível no idioma pretendido. Se desejas colaborar connosco na tradução por favor contacte CONTACT_ADRESS ,Acestă pagină nu este tradusă în acestă limbă; dacă doresti să realizezi traducerea te rugăm să ne contactezi la adresa CONTACT_ADDRESS,"Эта страница не доступна на вашем языке, но, если вы хотите предоставить перевод, пожалуйста, свяжитесь с нами по контактному адресу",මෙම පිටුව ඔබේ භාෂාවෙන් පරිවර්තනය කර නැත. ඔබ එය පරිවර්තනය කිරීමට කැමති නම් අපව සම්බන්ද කර ගන්න CONTACT_ADDRESS,"Ta stran še ni na razpolago v vašem jeziku. Če nam želite poslati prevod, nam pišite na CONTACT_ADDRESS ","Ukurasa huu haupatikani katika lugha yako kwa sasa, kama ungependa kuwa mtafsiri, tafadhali wasiliana nasi",இந்தப் பக்கம் தற்போது உங்கள் மொழியில் இல்லை. உங்களால் மொழிமாற்றம் செய்ய முடியும் என்றால் பின்வரும் முகவரியில் தொடரவும்: CONTACT_ADDRESS,,Bu sayfa henüz bu dilde kullanıma açılmamıştır. Eger çeviri eklemek isterseniz bizimle CONTACT_ADDRESS kullanarak iletişime geçiniz.,,"Ця сторінка поки що недоступна вашою мовою, якщо Ви би хотіли допомогти нам з перекладом, напишіть нам на адресу CONTACT_ADDRESS",,"Nid yw'r dudalen hon ar gael yn eich iaith eto. Os hoffech ei gyfieithu, cysylltwch â ni ar CONTACT_ADDRESS"
Topics,Onderwerpen,Argomenti,Themen,Temas,Tematy,,مواضيع,বিষয়,Теми,,Témata,Emner,موضوعات,Thèmes,Θέματα,,נושאים,"
विषय",,Viðfangsefni,Topik,トピックス,Taq ub'i' ch'ob'oj,주제,,,Temaer,Temas,Subiecte,Темы,මාතෘකා,Teme,Mada,தலைப்புக்கள்,,Konular,Taq ch'ob'ooj,Теми,Chủ đề,Pynciau
Atoms and Molecules,Atomen en Moleculen,Atomi e molecole,Atome und Moleküle,Átomos y moléculas,Atomy i molekuły,,الذرات والجزيئات,পরমাণু ও অণুর,Атоми и молекули,,Atomy a molekuly,Atomer og Molekyler,,Atomes et molécules,Άτομα και Μόρια,,אטומים ומולקולות,"
अणुओं और परमाणुओं",,Atóm og sameindir,Atom dan Molekul,原子と分子,Taq Xe'lq'aq' chi'l taq ucholajil xe'lq'aq',원자와 분자,,,Atomer og molekyler,Átomos e moléculas,Atomi și molecule,Атомы и молекулы,පරමාණු හා අණු,Atomi in molekule,Atom na Molekuli,அணுக்களும் மூலக்கூறுகளும்,,Atomlar ve Moleküller,,Атоми та молекули,,Atomau a Moleciwlau
Cosmology,Kosmologie,Cosmologia,Kosmologie,Cosmología,Kosmologia,,علم الكونيات, সৃষ্টিতত্ব / মহাবিশ্বতত্ত্ব,Космология,,Kosmologie,Kosmologi,,Cosmologie,Κοσμολογία,,קוסמולוגיה,"
ब्रह्माण्ड विज्ञान",,Heimsfræði,Kosmologi,宇宙論,Ucholajil kaj,우주론,,,Kosmologi,Cosmologia,Cosmologie,Космология,විශ්ව න්‍යය විද්‍යාව,Kozmologija,Cosmology,பிரபஞ்சவியல்,,Evrenbilim,,Космологія,,Cosmoleg
Black Holes,Zwarte gaten,Buchi neri,Schwarzes Loch,Agujero negro,Czarna dziura,,الثفوب السوداء,কালো গহ্বর,Черна дупка,,Černá díra,Sorte Huller,,Trous noirs,Μαύρη Τρύπα,,חורים שחורים,ब्लैक होल्स,,Svarthol,Lubang Hitam,ブラックホール,Q'eq taq jul,블랙홀,,,Sorte hull,Buraco negro,Gaură neagră,Черные дыры,කාල කුහර,Črna luknja,Black Hole,கருந்துளை,,Kara Delikler,,Чорні діри,,Tyllau Du
Dark Matter,Donkere materie,Materia oscura,Dunkle Materie,Materia oscura,Ciemna materia,,المادة المظلمة,অন্ধকার বিষয়গুলো,Тъмна материя,,Temná hmota,Mørkt Stof,,Matière noire,Σκοτεινή Ύλη,,חומר אפל,अंधेरे मामलों,,Hulduefni,Materi Gelap,暗黒物質,Q'eq uxe'al,암흑 물질,,,Mørk materie,Matéria negra,Materie întunecată,Темная материя,අඳුරු පදාර්ථ,Temna snov,Dark Matter,கரும்பொருள்,,Karanlık Madde,,Темна матерія,,Matter Tywyll
Missions,Missies,Missioni,Missionen,Misiones,Misje,,البعثات (المهمات), মিশন / উদ্দেশ্য,Мисии,,Mise,Missioner,,Missions,Αποστολές,,משימות,"
मिशन",,Geimleiðangrar,Misi Antariksa,ミッション,Taq rilik chak,미션,,,Romferder,Missões,Misiuni spațiale,Полеты,මෙහෙයුම්,Misije,Mission,திட்டங்கள்,,Görevler,,Місії,,Teithiau
Technology,Technologie,Tecnologia,Technologie,Tecnología,Technologia,,تكنولوجيا,প্রযুক্তি,Технология,,Technologie,Teknologi,,Technologie,Τεχνολογία,,טכנולוגיה,"
प्रौद्योगिकी",,Tækni,Teknologi,技術,K'ak' eta'mab'al,기술,,,Teknologi,Tecnologia,Tehnologie,Технологии,තාක්ෂනය,Tehnologija,Teknolojia,தொழில்நுட்பம்,,Teknoloji,,Технології,,Technoleg
Gravity,Zwaartekracht,Gravità,Gravitation,Gravedad,Grawitacja,,الجاذبية,মাধ্যাকর্ষণ,Гравитация,,Gravitace,Tyngdekraft,,Gravitation,Βαρύτητα,,כבידה,"गंभीरता / 
आकर्षण-शक्ति",,Þyngdarkraftur,Gravitasi,重力,Ujek'b'alil ulew,중력,,,Gravitasjonskraft,Gravidade,Gravitație,Гравитация,ගුරුත්වාකර්ෂණය,Gravitacija,Graviti,ஈர்ப்புவிசை,,Kütleçekim,,Гравітація,,Disgyrchiant
Solar System,Zonnestelsel,Sistema Solare,Sonnensystem,Sistema Solar,Układ Słoneczny,,المجموعة الشمسية,সৌর জগৎ/ সৌরমণ্ডল,Слънчева система,,Sluneční soustava,Solsystem,,Système solaire,Ηλιακό Σύστημα,,מערכת השמש,"
सौर मंडल",,Sólkerfið,Tata Surya,太陽系,Ukemb'al q'ij,태양계,,,Solsystemet,Sistema Solar,Sistem Solar,Солнечная система,සෞර ග්‍රහ මණ්ඩලය,Osončje,Mfumo wa Jua,சூரியத் தொகுதி,,Güneş Sistemi,,Сонячна Система,,Cysawd yr Haul
Planets,Planeten,Pianeti,Planeten,Planetas,Planety,,الكواكب,গ্রহ,Планети,,Planety,Planeter,,Planètes,Πλανήτες,,כוכבי לכת,ग्रहों,,Reikistjörnur,Planet,惑星,Taq ralq'ij,행성,,,Planeter,Planetas,Planete,Планеты,ග්‍රහලෝක,Planeti,Sayari,கோள்கள்,,Gezegenler,,Планети,,Planedau
Comets,Kometen,Comete,Kometen,Cometas,Komety,,المذنبات,ধূমকেতুর,Комети,,Komety,Kometer,,Comètes,Κομήτες,,כוכבי שביט,"
धूमकेतु",,Halastjörnur,Komet,彗星（すいせい）,Taq juch'ch'umil,혜성,,,Kometer,Cometas,Comete,Кометы,ධුමකේතු,Kometi,Vimondo,வால்வெள்ளிகள்,,Kuyrukluyıldızlar,,Комети,,Comedau
Asteroids,Asteroiden,Asteroidi,Asteroiden,Asteroides,Planetoidy,,الكويكبات,গ্রহাণু,Астероиди,,Planetky,Asteroider,,Astéroïdes,Αστεροειδείς,,אסטרואידים,क्षुद्रग्रहों,,Smástirni,Asteroid,小惑星,Taq chutiralq'ij,소행성,,,Asteroider,Asteroides,Asteroizi,Астероиды,ග්‍රහක,Asteroidi,Asteroid,சிறுகோள்கள்,,Asteroidler,,Астероїди,,Asteroidau
Supernova Remnants,Supernovarest,Resti di supernova,Supernovaüberrest,Resto de supernova,Pozostałości po supernowej,,بقايا المستعرات العظمى,সুপারনোভা অবশিষ্টাংশ,Останки от свръхнова,,Pozůstatek supernovy,Supernovarester,,Restes de supernova,Υπόλειμα Υπερκενοφανούς,,שארית סופרנובה,"
सुपरनोवा अवशेष",,Sprengistjörnuleifar,Sisa-Sisa Supernova,超新星残がい,Utz'aqatil nimapoq'ch'ub'lin,초신성 잔해,,,Supernovarester,Remanescente de supernova,Rest de supernovă,Остатки сверхновых,සුපර්නෝවා ඉතිරි,Ostanek supernove,Mabaki ya Milipuko ya Nyota,சூப்பர்நோவா எச்சம்,,Süpernova Kalıntıları,,Залишки наднових,,Gweddillion Uwchnova
Planetary Nebulae,Planetaire Nevel,Nebulose planetarie,Planetare Nebel,Nebulosas planetarias,Mgławice planetarne,,سديم كوكبي,প্ল্যানেটারি নীহারিকা/ গ্রহগত,Планетарна мъглявина,,Planetární mlhoviny,Planetariske Tåger,,Nébuleuses planétaires,Πλανητικά Νέφη,,ערפילית פלנטרית,ग्रहों की नीहारिकाओं,,Hringþokur,Planetari Nebula,惑星状星雲,Sutz' taq ralq'ij,행성상 성운,,,Planetariske tåker,Nebulosas planetárias,Nebuloasă planetară,Планетарные туманности,ග්‍රහ නිහාරිකා,Planetarne meglice,Planetary Nebulae,கோள்விண்மீன் படலம்,,Gezegenimsi Bulutsular,,Планетарні туманності,,Nifylau Planedol
Star Forming Nebulae,Stervormingswolk,Nubi di formazione stellare,Sternentstehungsgebiete,Nebulosas de formación estelar,Rejony formowania gwiazd,,سديم التشكيل النجمي,নক্ষত্র দ্বারা নির্মিত নীহারিকা ,Региони на звездообразуване,,Hvězdotvorné mlhoviny,Stjernedannende Tåger,,Nébuleuses de formation d'étoiles,Νέφη Δημιουργίας Αστεριών,,ערפילית יצירת כוכבים,स्टार गठन नेबुला,,Stjörnumyndunarsvæði,Nebula Pembentuk Bintang,星形成星雲,Sutz' taq winaqirisanem uxe'al ,별생성 성운,,,Stjernedannende tåker,Nebulosas de formação estelar,Nebuloasă în care se nasc stele,Области формирования звезд,තාරකා බිහිවන නිහාරිකා,Meglice nastajajočih zvezd,Star Forming Nebulae,விண்மீன் தோன்றல் படலம்,,Yıldız Oluşum Bulutsuları,,Зореутворюючі туманності,,Nifylau Ffurfiau Sêr
Irregular Galaxies,Onregelmatig Sterrenstelsel,Galassie Irregolari,Irreguläre Galaxie,Galaxia irregular,Galaktyka nieregularna,,المجرات غير المنتظمة,অনিয়মিত ছায়াপথ,Неправилна галактика,,Nepravidelné galaxie,Irregulære Galakser,,Galaxies irrégulières,Ανώμαλος Γαλαξίας,,גלקסיות לא סדירות,अनियमित आकाशगंगाओं,,Óregluleg vetrarbraut,Galaksi Takteratur,不規則銀河,Utz'aqatil jupuq ch'umil,불규칙 은하,,,Irregulære galakser,Galáxia irregular,Galaxie neregulată,Неправильные галактики,අක්‍රමවත් මන්දාකිනි,Nepravilna galaksija,Irregular Galaxy,சீரற்ற விண்மீன் பேரடை,,Düzensiz Gökadalar,,Неправильні галактики,,Galaethau Afreolaidd
Elliptical Galaxies,Elliptisch Sterrenstelsel,Galassie Ellittiche,Elliptische Galaxie,Galaxia elíptica,Galaktyka eliptyczna,,المجرات الإهليلجية,উপবৃত্তাকার ছায়াপথ,Елиптична галактика,,Eliptické galaxie,Elliptiske Galakser,,Galaxies elliptiques,Ελλειπτικός Γαλαξίας,,גלקסיות אליפטיות,अण्डाकार आकाशगंगाओं,,Sporvöluvetrarbraut,Galaksi Elips,だ円銀河,Rab'set jupuqch'umil,타원 은하,,,Elliptiske galakser,Galáxia elíptica,Galaxie eliptică,Эллиптические галактики,ඉලිප්සාකාර  මන්දාකිනි,Eliptična galaksija,Elliptical Galaxy,நீள்வட்ட விண்மீன் பேரடை,,Eliptik Gökadalar,,Еліптичні галактики,,Galaethau Elipitgol
